2026-09-13 12:20:37,764 - INFO - Ingesting begin_inventory.csv in db
2026-09-13 12:26:38,507 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:39,335 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:40,274 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:41,118 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:41,993 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:42,835 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:43,700 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:44,542 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:45,382 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:46,055 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:46,703 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:47,318 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:47,965 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:48,675 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:49,318 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:49,952 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:50,600 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:51,220 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:51,873 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:52,481 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:53,127 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:53,747 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:54,399 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:55,015 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:55,731 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:56,348 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:57,000 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:57,632 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:58,282 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:58,910 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:59,570 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:00,199 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:00,858 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:01,474 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:02,123 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:02,763 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:03,414 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:04,115 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:04,767 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:05,404 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:06,060 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:06,681 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:07,335 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:07,950 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:08,616 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:09,278 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:09,948 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:10,622 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:11,268 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:11,939 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:12,598 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:13,221 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:13,873 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:14,526 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:15,237 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:15,910 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:16,594 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:17,223 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:17,883 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:18,492 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:19,202 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:19,838 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:20,500 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:21,115 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:21,786 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:22,410 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:23,060 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:23,684 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:24,342 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:24,958 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:25,615 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:26,240 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:26,970 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:27,596 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:28,269 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:28,904 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:29,573 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:30,198 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:30,860 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:31,476 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:32,126 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:32,757 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:27:33,405 - INFO - Loading sales with shape (50000, 14)
